Start init
Done init
-2.63832	TNaive
-2.63832	TNaiveOutlined
-2.63832	TCompileTimehDim<64>
-2.63832	TCompileTime64hDimOutlined
0	TCLibChecker
-2.63832	TForceBy4
-2.63832	TForceBy4Last
-2.63832	TNaiveSSE4UnsafeOpt
-2.63832	TBy4SSE4UnsafeOpt
-2.63832	TNaiveAvxAuto
-2.63832	TNaiveAvx2Auto
-2.63832	TNaiveAvx512Auto
-2.63832	TNaiveAvx512ASM
-2.63832	TDetectOptimistic
-2.63832	TDetectPessimistic
-2.63832	TDetectJump
-2.63832	TVirtualJump
-2.63832	8.22633	TNaive
-2.63832	8.22633	TMultiDotFromSingle<TNaive>
-2.63832	8.22633	TMultiDotAll
-2.63832	8.22633	TMultiDotCTStep<1>
-2.63832	8.22633	TMultiDotCTStep<2>
-2.63832	8.22633	TMultiDotCTStepOutlined<2>
-2.63832	8.22633	TMultiDotCTStepOutlinedV2<2>
-2.63832	8.22633	TMultiDotCTStepV3
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_SSE42<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX2<2>
-2.63832	8.22633	TMultiDotCTStepV2FloatOpts_AVX512<2>
-2.63832	8.22633	TMultiDotV3_ASM_AVX512
531.675	863.36	TPackedProductUnpack<TNaive>
531.675	863.36	TPackedProductUnpack<TVirtualJump>
531.675	863.36	TPackedProductInlined
531.675	863.36	TPackedProductInlinedAvx512Auto
531.675	863.36	TPackedProductInlinedWithMath
531.675	863.36	TPackedProductInlinedWithMathAvx512Auto
531.675	863.36	TPackedProductAvx512ASM
531.675	863.36	TPackedProductV2Avx512ASM
2021-07-25 11:23:49
Running ./for_conf_abstr_level
Run on (32 X 2095.08 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 32 KiB (x32)
  L2 Unified 4096 KiB (x32)
  L3 Unified 16384 KiB (x32)
Load Average: 0.18, 0.12, 0.10
--------------------------------------------------------------------------------------------------------
Benchmark                                                              Time             CPU   Iterations
DotPrMulti_TMultiDotV3_ASM_PREFETCH_AVX512/128                     0.935 ms        0.935 ms          762
DotPrMulti_TMultiDotV3_ASM_PREFETCH_AVX512/1024                     4.02 ms         4.02 ms          174
DotPrMulti_TMultiDotV3_ASM_AVX512/64                               0.497 ms        0.497 ms         1410
DotPrMulti_TMultiDotV3_ASM_AVX512/128                              0.961 ms        0.961 ms          721
DotPrMulti_TMultiDotV3_ASM_AVX512/1024                              4.24 ms         4.24 ms          168
DotPrMulti_TMultiDotCTStep_2/64                                     1.55 ms         1.55 ms          454
DotPrMulti_TMultiDotCTStep_2/128                                    2.51 ms         2.51 ms          275
DotPrMulti_TMultiDotCTStep_2/1024                                   8.41 ms         8.41 ms           80
DotPrMulti_TMultiDotCTStepOutlined_2/64                             1.55 ms         1.55 ms          461
DotPrMulti_TMultiDotCTStepOutlined_2/128                            2.52 ms         2.52 ms          275
DotPrMulti_TMultiDotCTStepOutlined_2/1024                           8.26 ms         8.26 ms           84
DotPrMulti_TMultiDotCTStepOutlinedV2_2/64                           1.41 ms         1.41 ms          493
DotPrMulti_TMultiDotCTStepOutlinedV2_2/128                          2.39 ms         2.39 ms          291
DotPrMulti_TMultiDotCTStepOutlinedV2_2/1024                         8.37 ms         8.37 ms           84
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_2/64                   0.861 ms        0.861 ms          822
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_2/128                   1.41 ms         1.41 ms          496
DotPrMulti_TMultiDotCTStepV2FloatOpts_SSE42_2/1024                  5.11 ms         5.11 ms          137
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_2/64                     0.631 ms        0.631 ms         1126
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_2/128                     1.13 ms         1.13 ms          622
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX_2/1024                    4.79 ms         4.79 ms          148
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_2/64                    0.629 ms        0.629 ms         1096
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_2/128                    1.13 ms         1.13 ms          618
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX2_2/1024                   4.80 ms         4.80 ms          146
DotPrMulti_TMultiDotCTStepV2FloatOpts_AVX512_2/64                  0.549 ms        0.549 ms         1304
